slug,status,canonical
cone,canonical,cone
construction,canonical,construction
contact-2,deprecated,contact-round
contact-round,canonical,contact-round
contact,canonical,contact
container,canonical,container
contrast,canonical,contrast
cookie,canonical,cookie
cooking-pot,canonical,cooking-pot
copy-check,canonical,copy-check
copy-minus,canonical,copy-minus
copy-plus,canonical,copy-plus
copy-slash,canonical,copy-slash
copy-x,canonical,copy-x
copy,canonical,copy
copyleft,canonical,copyleft
copyright,canonical,copyright
corner-down-left,canonical,corner-down-left
corner-down-right,canonical,corner-down-right
corner-left-down,canonical,corner-left-down
corner-left-up,canonical,corner-left-up
corner-right-down,canonical,corner-right-down
corner-right-up,canonical,corner-right-up
corner-up-left,canonical,corner-up-left
corner-up-right,canonical,corner-up-right
cpu,canonical,cpu
creative-commons,canonical,creative-commons
credit-card,canonical,credit-card
croissant,canonical,croissant
crop,canonical,crop
cross,canonical,cross
crosshair,canonical,crosshair
crown,canonical,crown
cuboid,canonical,cuboid
cup-soda,canonical,cup-soda
curly-braces,deprecated,braces
currency,canonical,currency
cylinder,canonical,cylinder
dam,canonical,dam
database-arrow-down,canonical,database-arrow-down
database-arrow-up,canonical,database-arrow-up
database-backup,canonical,database-backup
database-check,canonical,database-check
database-minus,canonical,database-minus
database-plus,canonical,database-plus
database-search,canonical,database-search
database-x,canonical,database-x
database-zap,canonical,database-zap
database,canonical,database
decimals-arrow-left,canonical,decimals-arrow-left
decimals-arrow-right,canonical,decimals-arrow-right
delete,canonical,delete
dessert,canonical,dessert
diameter,canonical,diameter
diamond-minus,canonical,diamond-minus
diamond-percent,canonical,diamond-percent
diamond-plus,canonical,diamond-plus
diamond,canonical,diamond
dice-1,canonical,dice-1
dice-2,canonical,dice-2
dice-3,canonical,dice-3
dice-4,canonical,dice-4
dice-5,canonical,dice-5
dice-6,canonical,dice-6
dices,canonical,dices
diff,canonical,diff
disc-2,canonical,disc-2
disc-3,canonical,disc-3
disc-album,canonical,disc-album
disc,canonical,disc
divide-circle,deprecated,circle-divide
divide-square,deprecated,square-divide
divide,canonical,divide
dna-off,canonical,dna-off
dna,canonical,dna
dock,canonical,dock
dog,canonical,dog
dollar-sign,canonical,dollar-sign
donut,canonical,donut
door-closed-locked,canonical,door-closed-locked
door-closed,canonical,door-closed
door-open,canonical,door-open
dot-square,deprecated,square-dot
dot,canonical,dot
download-cloud,deprecated,cloud-download
download,canonical,download
drafting-compass,canonical,drafting-compass
drama,canonical,drama
drill,canonical,drill
drone,canonical,drone
droplet-off,canonical,droplet-off
droplet,canonical,droplet
droplets,canonical,droplets
drum,canonical,drum
drumstick,canonical,drumstick
dumbbell,canonical,dumbbell
ear-off,canonical,ear-off
ear,canonical,ear
earth-lock,canonical,earth-lock
earth,canonical,earth
eclipse,canonical,eclipse
edit-2,deprecated,pen
edit-3,deprecated,pen-line
edit,deprecated,square-pen
egg-fried,canonical,egg-fried
egg-off,canonical,egg-off
egg,canonical,egg
eject,canonical,eject
ellipse,canonical,ellipse
ellipsis-vertical,canonical,ellipsis-vertical
ellipsis,canonical,ellipsis
equal-approximately,canonical,equal-approximately
equal-not,canonical,equal-not
equal-square,deprecated,square-equal
equal,canonical,equal
eraser,canonical,eraser
ethernet-port,canonical,ethernet-port
euro,canonical,euro
ev-charger,canonical,ev-charger
expand,canonical,expand
external-link,canonical,external-link
eye-closed,canonical,eye-closed
eye-dashed,canonical,eye-dashed
eye-off,canonical,eye-off
eye,canonical,eye
face-angry,canonical,face-angry
face-expressionless,canonical,face-expressionless
face-grinning,canonical,face-grinning
face-neutral,canonical,face-neutral
face-slightly-frowning,canonical,face-slightly-frowning
face-slightly-smiling-plus,canonical,face-slightly-smiling-plus
face-slightly-smiling,canonical,face-slightly-smiling
factory,canonical,factory
fan,canonical,fan
fast-forward,canonical,fast-forward
feather,canonical,feather
fence,canonical,fence
ferris-wheel,canonical,ferris-wheel
file-archive,canonical,file-archive
file-audio-2,deprecated,file-headphone
file-audio,deprecated,file-headphone
file-axis-3-d,deprecated,file-axis-3d
file-axis-3d,canonical,file-axis-3d
file-badge-2,deprecated,file-badge
file-badge,canonical,file-badge
file-bar-chart-2,deprecated,file-chart-column
file-bar-chart,deprecated,file-chart-column-increasing
file-box,canonical,file-box
file-braces-corner,canonical,file-braces-corner
file-braces,canonical,file-braces
file-chart-column-increasing,canonical,file-chart-column-increasing
file-chart-column,canonical,file-chart-column
file-chart-line,canonical,file-chart-line
file-chart-pie,canonical,file-chart-pie
file-check-2,deprecated,file-check-corner
file-check-corner,canonical,file-check-corner
file-check,canonical,file-check
file-clock,canonical,file-clock
file-code-2,deprecated,file-code-corner
file-code-corner,canonical,file-code-corner
file-code,canonical,file-code
file-cog-2,deprecated,file-cog
file-cog,canonical,file-cog
file-diff,canonical,file-diff
file-digit,canonical,file-digit
file-down,canonical,file-down
file-edit,deprecated,file-pen
file-exclamation-point,canonical,file-exclamation-point
file-headphone,canonical,file-headphone
file-heart,canonical,file-heart
file-image,canonical,file-image
file-input,canonical,file-input
file-json-2,deprecated,file-braces-corner
file-json,deprecated,file-braces
file-key-2,deprecated,file-key
file-key,canonical,file-key
file-line-chart,deprecated,file-chart-line
file-lock-2,deprecated,file-lock
file-lock,canonical,file-lock
file-minus-2,deprecated,file-minus-corner
file-minus-corner,canonical,file-minus-corner
file-minus,canonical,file-minus
file-music,canonical,file-music
file-output,canonical,file-output
file-pen-line,canonical,file-pen-line
file-pen,canonical,file-pen
file-pie-chart,deprecated,file-chart-pie
file-play,canonical,file-play
file-plus-2,deprecated,file-plus-corner
file-plus-corner,canonical,file-plus-corner
file-plus,canonical,file-plus
file-question-mark,canonical,file-question-mark
file-question,deprecated,file-question-mark
file-scan,canonical,file-scan
file-search-2,deprecated,file-search-corner
file-search-corner,canonical,file-search-corner
file-search,canonical,file-search
file-signal,canonical,file-signal
file-signature,deprecated,file-pen-line
file-sliders,canonical,file-sliders
file-spreadsheet,canonical,file-spreadsheet
file-stack,canonical,file-stack
file-symlink,canonical,file-symlink
file-terminal,canonical,file-terminal
file-text,canonical,file-text
file-type-2,deprecated,file-type-corner
file-type-corner,canonical,file-type-corner
file-type,canonical,file-type
file-up,canonical,file-up
file-user,canonical,file-user
file-video-2,deprecated,file-video-camera
file-video-camera,canonical,file-video-camera
file-video,deprecated,file-play
file-volume-2,deprecated,file-signal
file-volume,canonical,file-volume
file-warning,deprecated,file-exclamation-point
file-x-2,deprecated,file-x-corner
file-x-corner,canonical,file-x-corner
file-x,canonical,file-x
file,canonical,file
files,canonical,files
film,canonical,film
filter-x,deprecated,funnel-x
filter,deprecated,funnel
fingerprint-pattern,canonical,fingerprint-pattern
fire-extinguisher,canonical,fire-extinguisher
fish-off,canonical,fish-off
fish-symbol,canonical,fish-symbol
fish,canonical,fish
fishing-hook,canonical,fishing-hook
fishing-rod,canonical,fishing-rod
flag-off,canonical,flag-off
flag-triangle-left,canonical,flag-triangle-left
flag-triangle-right,canonical,flag-triangle-right
flag,canonical,flag
flame-kindling,canonical,flame-kindling
flame,canonical,flame
flashlight-off,canonical,flashlight-off
flashlight,canonical,flashlight
flask-conical-off,canonical,flask-conical-off
flask-conical,canonical,flask-conical
flask-round,canonical,flask-round
flip-horizontal-2,canonical,flip-horizontal-2
flip-horizontal,deprecated,square-centerline-dashed-horizontal
flip-vertical-2,canonical,flip-vertical-2
flip-vertical,deprecated,square-centerline-dashed-vertical
flower-2,canonical,flower-2
flower,canonical,flower
focus,canonical,focus
fold-horizontal,canonical,fold-horizontal
fold-vertical,canonical,fold-vertical
folder-archive,canonical,folder-archive
folder-bookmark,canonical,folder-bookmark
folder-check,canonical,folder-check
folder-clock,canonical,folder-clock
folder-closed,canonical,folder-closed
folder-code,canonical,folder-code
folder-cog-2,deprecated,folder-cog
folder-cog,canonical,folder-cog
folder-dot,canonical,folder-dot
folder-down,canonical,folder-down
folder-edit,deprecated,folder-pen
folder-git-2,canonical,folder-git-2
folder-git,canonical,folder-git
folder-heart,canonical,folder-heart
folder-input,canonical,folder-input
folder-kanban,canonical,folder-kanban
folder-key,canonical,folder-key
folder-lock,canonical,folder-lock
folder-minus,canonical,folder-minus
